mileage,age,engine,horsepower,num_previous_owners,price
60675,4,1.6,228,1,18421
23671,24,1.7,179,1,11279
82893,5,2.3,115,1,10279
94692,11,2.4,94,1,9876
12509,9,1.8,126,0,19428
19701,5,2.7,135,0,20263
53609,2,1.9,242,0,18094
39286,8,1.6,141,2,8020
48447,1,2.1,96,1,18314
26980,11,1.0,147,3,3581
90724,5,2.2,161,3,11701
84495,0,1.0,92,4,11397
51339,3,1.3,168,1,18083
107911,6,1.0,204,0,9247
67999,3,1.9,156,1,20060
26862,6,3.1,114,3,13368
63457,2,1.9,126,2,17059
25053,2,2.5,75,1,23325
90663,4,3.6,143,1,18876
47337,4,2.3,163,1,20999
43070,3,1.5,109,0,13327
30435,9,1.6,237,0,12967
115356,2,2.0,185,0,12868
43994,5,1.6,69,2,14187
36321,4,1.6,70,0,16504
38311,1,2.7,105,1,30513
71155,2,2.7,220,1,21991
63310,4,1.0,190,2,15500
65441,14,1.4,223,7,7540
66275,6,1.7,150,2,15160
219510,1,2.4,140,1,7240
36883,0,2.8,93,1,22141
34249,6,3.9,165,1,21500
27732,4,1.7,141,1,19563
75446,8,1.7,139,0,14308
108042,2,2.4,222,1,14407
45262,5,1.5,144,0,14979
27224,7,1.9,209,2,15420
27525,3,1.7,78,2,15398
77297,3,1.0,270,0,19047
82477,4,2.1,133,2,11683
71697,6,1.9,181,3,13615
30765,4,2.9,188,3,23220
57671,8,2.0,127,0,10131
53192,3,1.1,186,0,20941
57129,2,1.8,189,2,19216
90219,14,1.0,117,1,1500
57326,3,1.2,118,2,19081
78845,3,2.4,152,3,18164
51395,4,1.8,144,0,15982
60017,4,2.6,212,0,29289
76259,3,1.0,181,0,21817
17676,4,1.8,146,2,18108
39192,4,1.7,177,3,18002
35268,4,2.7,60,0,19656
31344,1,2.5,122,4,17436
40432,13,2.4,162,1,11671
139589,4,3.1,200,1,23612
26740,6,1.7,158,0,17382
96547,1,2.9,215,0,20031
15093,3,1.3,189,2,22025
38776,2,1.2,128,1,14001
54936,10,2.5,143,1,18835
73891,3,1.0,168,2,14609
80648,7,2.4,129,2,8217
85420,3,2.1,218,1,16601
38403,3,2.8,100,2,18879
35466,3,2.0,164,1,19438
89373,9,2.0,183,2,10911
42876,1,2.4,135,1,22374
20070,2,1.5,125,0,16703
22174,1,1.5,146,2,21296
25754,2,2.3,186,1,17853
69425,2,2.0,127,2,19141
54160,1,1.7,101,1,22830
79486,2,1.9,201,2,19515
36349,1,3.1,167,1,25385
54774,2,1.7,195,1,21627
75956,9,1.7,184,0,14300
39476,5,1.0,248,2,15026
