annual_income,account_tenure_days,age,engagement_score,support_tickets,annual_spending
57964.98,107,36,9.46,3,171.69
27667.36,248,54,34.8,3,92.69
74068.69,614,45,95.23,3,150.66
82232.89,364,32,61.51,5,150.53
16763.02,210,30,38.14,4,51.96
23951.86,205,20,3.89,2,19.29
52591.63,197,45,60.03,4,143.91
41194.77,167,37,9.23,5,84.31
48569.9,3950,18,54.25,3,198.69
30663.42,543,35,75.2,3,164.29
79512.45,979,30,42.36,5,229.89
75190.91,247,62,29.94,3,163.03
50833.81,334,19,4.74,1,68.08
91124.56,197,23,2.48,8,133.37
63394.36,28,56,43.0,3,147.81
30558.22,101,59,88.33,2,194.58
60042.8,65,32,24.41,2,156.18
28929.43,42,33,57.41,2,100.93
79471.02,122,50,68.43,1,184.33
47693.04,1517,18,6.08,2,183.41
44281.65,385,18,15.31,2,65.93
33707.94,1466,38,33.13,4,204.22
96028.25,608,62,67.01,4,211.61
45026.6,882,36,43.9,2,87.19
38731.93,163,43,73.42,2,122.23
40389.56,681,56,86.76,2,85.77
65694.47,836,69,75.84,4,209.28
59933.7,226,34,99.22,2,169.36
61512.95,705,41,75.44,4,174.64
62127.97,710,65,85.22,0,199.54
159198.35,232,22,83.24,5,208.73
39201.56,131,55,73.03,3,131.61
36984.96,123,28,80.18,3,102.91
31332.93,439,43,93.47,7,71.05
68788.28,559,38,47.52,2,239.98
91211.36,182,29,63.83,0,250.06
46042.9,414,29,51.49,1,117.41
30881.54,713,45,85.1,4,114.64
31148.93,748,54,43.14,3,123.75
70110.37,1904,40,81.97,2,242.31
73776.08,1446,42,79.94,3,225.53
66087.5,148,49,96.19,4,210.77
33995.03,2172,29,24.89,4,119.64
55697.4,237,51,70.96,1,155.44
52269.96,1146,52,75.69,1,208.99
55286.21,431,75,93.63,3,119.32
79164.7,267,37,90.69,2,214.3
55435.62,66,36,57.35,2,169.72
71210.99,339,51,57.92,4,117.46
50877.11,84,52,16.73,2,105.55
57469.85,1061,35,97.5,2,161.94
69369.91,1838,36,25.5,5,243.71
21994.87,181,49,72.47,3,98.86
41117.16,545,31,79.58,7,126.87
37846.55,195,36,44.12,0,153.86
34496.64,215,43,21.12,3,75.48
42136.59,875,54,18.9,3,64.73
111548.83,388,34,85.65,4,202.68
30448.53,2297,18,51.08,2,107.24
83495.92,249,18,9.01,3,169.7
19427.05,1095,25,71.7,2,87.47
40774.54,444,24,25.02,4,137.86
53611.25,894,39,87.64,1,162.77
67671.63,257,26,30.96,3,138.12
72487.88,383,32,20.03,0,162.87
75836.95,359,31,8.49,4,161.03
