size,distance_to_center,age,price
1672,4.99,24,254595
976,3.85,38,154490
1998,3.33,7,315130
2156,7.05,15,408785
678,8.55,42,166815
879,2.24,33,208027
1557,2.01,46,308530
1304,9.66,33,246481
1470,1.89,34,315727
1052,7.27,51,205250
2104,15.36,25,242121
2020,15.39,53,225068
1519,8.3,22,290340
2323,8.13,19,331380
1784,23.96,46,180166
1049,0.97,0,346149
1715,3.58,10,263020
1008,8.97,4,311796
2103,3.91,30,321691
1451,11.8,37,237052
1374,4.82,0,306023
1127,5.43,9,221644
2413,4.09,18,373676
1391,3.44,17,260624
1247,3.38,5,218161
1285,5.99,10,217879
1831,2.88,50,366222
1713,9.65,42,219091
1746,7.82,17,288675
1758,10.69,15,229103
3486,2.25,4,521515
1258,1.51,20,277752
1206,4.94,23,259126
1069,37.68,54,269990
1893,12.02,44,249371
2325,3.36,28,318987
1414,6.67,8,227175
1057,8.24,39,259286
1064,1.9,56,343553
1920,12.92,4,253183
1992,4.41,50,318103
1839,4.65,10,274872
1134,5.04,42,224403
1624,11.04,11,249985
1551,2.92,36,249945
1615,1.5,14,293097
2097,6.21,32,351039
1618,1.18,36,314983
1942,4.01,37,352880
1520,11.37,40,182965
1661,7.43,4,301024
1905,10.27,42,232199
826,7.65,9,227133
1302,26.77,40,132195
1226,3.28,7,248994
1146,6.54,28,263757
1326,3.64,23,311278
2691,9.68,58,323298
1046,4.74,37,267154
2180,16.5,5,289268
755,3.42,42,227617
1294,13.26,11,225488
1579,7.5,17,206682
1871,4.84,22,279407
1967,7.24,46,345239
2033,5.95,56,328481
1287,6.35,55,230258
1230,4.29,10,237728
2086,3.03,3,376871
1371,3.92,49,247969
888,1.52,17,268233
940,8.93,34,157870
1024,2.09,58,222956
1805,4.25,11,305285
1567,7.8,22,208657
1951,8.91,52,266688
1247,1.43,38,369649
1577,4.64,56,153853
1901,6.83,37,357848
1308,5.14,18,294465
1777,12.69,48,257523
1135,2.79,45,300534
1280,1.18,56,340156
1270,8.73,28,327769
917,3.4,30,188515
1798,1.45,19,327003
1226,4.43,16,308480
1487,11.72,59,187245
1794,2.05,58,280693
1769,25.41,31,216218
1931,2.76,57,387517
1423,5.26,21,187872
1249,2.11,50,344591
1433,5.1,38,280284
753,4.51,43,202417
829,1.75,43,140194
872,35.8,38,140474
993,3.5,51,236637
1736,3.5,23,253258
1030,9.76,50,174485
